x_axis,channel_2
-4.367188,(0.01534934806315377+6.05756748677411e-18j)
-4.363281,(0.015358817864563569+4.965219251454189e-18j)
-4.359375,(0.015295596140719918+2.8798271658434293e-18j)
-4.355469,(0.015148022613817579+3.872871016134267e-18j)
-4.351563,(0.01490726188235499+5.660349946657775e-18j)
-4.347656,(0.014567699092402405+2.8301749733288875e-18j)
-4.34375,(0.014127215915172334+6.752698181977697e-18j)
-4.339844,(0.013587336147381092+5.461741176599608e-18j)
-4.335938,(0.012953235034156954+3.3763490909888483e-18j)
-4.332031,(0.012233611407130121+4.270088556250602e-18j)
-4.328125,(0.011440426751475738+2.2840008556689266e-18j)
-4.324219,(0.010588520183347886+1.9860877005816753e-18j)
-4.320313,(0.009695112857826902-5.710002139172317e-19j)
-4.316406,(0.008779219374206667+6.951306952035864e-19j)
-4.3125,(0.00786098715553341+3.7983927273624544e-18j)
-4.308594,(0.0069609874316117525+2.581914010756178e-18j)
-4.304688,(0.0060994832558067934-6.951306952035864e-19j)
-4.300781,(0.005295700873452565+1.1916526203490053e-18j)
-4.296875,(0.004567130704157461-8.93739465261754e-19j)
-4.292969,(0.003928883206360316-1.9860877005816753e-18j)
-4.289063,(0.0033931229983273302-2.0853920856107593e-18j)
-4.285156,(0.002968601885632033-1.9860877005816753e-18j)
-4.28125,(0.0026603079906116064-2.3833052406980107e-18j)
-4.277344,(0.0024692441195225605-2.8798271658434293e-18j)
-4.273438,(0.0023923439842552826-3.078435935901597e-18j)
-4.269531,(0.0024225300792117964-1.4895657754362565e-18j)
-4.265625,(0.002548912071689216-3.914441659195112e-18j)
-4.261719,(0.002757119670700536-2.563927627947088e-18j)
-4.257813,(0.0030297592666616103-5.734812223429169e-18j)
-4.253906,(0.0033469793458918997-1.3077339546158435e-18j)
-4.25,(0.003687125927835525-5.457715814899607e-18j)
-4.246094,(0.00402746617783538-3.12368164377652e-18j)
-4.242188,(0.004344956018406693-8.40107110502252e-18j)
-4.238281,(0.004617026073651823-3.1614501938547026e-18j)
-4.234375,(0.004822359680833033-5.6310927621304325e-19j)
-4.230469,(0.004941637004606956-3.383886977876758e-18j)
-4.226563,(0.004958220475589312-5.749704484848712e-19j)
-4.222656,(0.004858758797392648-5.2629563020931575e-19j)
-4.21875,(0.004633689547813647-1.847029614017222e-18j)
-4.214844,(0.004277623837372078-4.510163066687996e-18j)
-4.210938,(0.003789600456991-1.5904092732973746e-18j)
-4.207031,(0.003173201304179402-3.721792287527249e-18j)
-4.203125,(0.002436524469667999-2.9665273372151345e-18j)
-4.199219,(0.0015920160338367163-4.325002396101389e-18j)
-4.195313,(0.0006561662037743297-3.1573024549352863e-18j)
-4.191406,(-0.0003509202379960313-3.425776320206868e-18j)
-4.1875,(-0.001406065247907309-5.3461488923467295e-18j)
-4.183594,(-0.0024836532344389957-6.6691213930292546e-18j)
-4.179688,(-0.0035563409901835426-3.0769457749394775e-18j)
-4.175781,(-0.0045958195570081056-6.7223190541845275e-18j)
-4.171875,(-0.005573604400397792+2.364097301209608e-20j)
-4.167969,(-0.006461829730184588-5.731433555386792e-19j)
-4.164063,(-0.007234023067609781-1.97541200521466e-18j)
-4.160156,(-0.007865837197402397-2.5839878190726147e-18j)
-4.15625,(-0.008335718405997858-5.86899051585957e-18j)
-4.152344,(-0.008625492316649587-1.8983287318305904e-18j)
-4.148438,(-0.008720851591500618+1.6697881556914568e-18j)
-4.144531,(-0.008611733165169187-2.1038384525799175e-19j)
-4.140625,(-0.008292576377051802+2.7529191450092834e-18j)
-4.136719,(-0.007762457245746938-2.3000524070900163e-19j)
-4.132813,(-0.007025098041606884-2.0255728240618027e-19j)
-4.128906,(-0.00608875512782308-7.768984255446457e-19j)
-4.125,(-0.004965991629423929-1.3238056012251494e-18j)
-4.121094,(-0.0036733447377692045-2.725124138007341e-18j)
-4.117188,(-0.002230900266028513+1.494104613606025e-18j)
-4.113281,(-0.0006617893582598681+1.920143327749107e-18j)
-4.109375,(0.0010083760378990492-4.940083908298965e-19j)
-4.105469,(0.00275211123310769-1.9416972888007145e-18j)
-4.101563,(0.004540692226832664+3.870265386291853e-18j)
-4.097656,(0.006344796492735492+4.324654648062964e-18j)
-4.09375,(0.008135133839930853+2.794515109662683e-18j)
-4.089844,(0.009883051334365914-1.4582555590026274e-19j)
-4.085938,(0.011561097984684684-3.0684089123027907e-19j)
-4.082031,(0.013143536988023523-9.663945483724372e-19j)
-4.078125,(0.014606795696943552+5.180129181226072e-18j)
-4.074219,(0.01592984600659552+3.974019997410402e-18j)
-4.070313,(0.0170945104667144-1.849605586746066e-19j)
-4.066406,(0.018085691993918337+8.986316735979597e-19j)
-4.0625,(0.01889152750013789+1.1741869705671126e-18j)
-4.058594,(0.01950346797694201+1.1563631517882574e-18j)
-4.054688,(0.019916289510372092+1.99246359255248e-18j)
-4.050781,(0.02012804128970882+2.956649100847845e-19j)
-4.046875,(0.02013993787702537-8.515429815639428e-19j)
-4.042969,(0.019956203801697093+6.12315563078245e-20j)
-4.039063,(0.019583878933377263+3.552673786881069e-19j)
-4.035156,(0.019032593084725033-1.5903783840400785e-18j)
-4.03125,(0.01831431793473392-1.2398329857209202e-18j)
-4.027344,(0.017443103693074603-2.2713763576131e-18j)
-4.023438,(0.016434807005869193+1.9925692358249007e-18j)
-4.019531,(0.015306815503244958-1.311119746486909e-18j)
-4.015625,(0.014077773183937735+3.0858061778557673e-18j)
-4.011719,(0.012767309599074355+1.0848199233233134e-18j)
-4.007813,(0.01139577461117898+1.3979766891099718e-18j)
-4.003906,(0.009983979435138736-2.019756260249495e-18j)
-4.0,(0.008552943776351423+3.0181373474569425e-18j)
-3.996094,(0.007123648217037027+3.0865508749549877e-18j)
-3.992188,(0.005716790600345017+1.4731136869421712e-18j)
-3.988281,(0.004352545043553004+4.912611368181156e-19j)
-3.984375,(0.003050322380026006-2.7517452294005357e-18j)
-3.980469,(0.0018285312718157988+3.2276929448435736e-18j)
