x_axis,channel_2,channel_4
-5,,
-4.9992188,,
-4.9984375,,
-4.9976563,,
-4.996875,,
-4.9960938,,
-4.9953125,,
-4.9945313,,
-4.99375,,
-4.9929688,,
-4.9921875,0.05433,-0.00
-4.9914063,0.0604,-0.00
-4.990625,0.05232,-0.00
-4.9898438,0.05433,-0.00
-4.9890625,0.05634,0
-4.9882813,0.05634,-0.00
-4.9875,0.06237,-0.00
-4.9867188,0.06237,0
-4.9859375,0.05634,-0.00
-4.9851563,0.05232,-0.00
-4.984375,0.05634,0
-4.9835938,0.0583,0
-4.9828125,0.05433,-0.002
-4.9820313,0.05232,0
-4.98125,0.05031,-0.002
-4.9804688,0.05031,-0.00
-4.9796875,0.05232,-0.00
-4.9789063,0.05433,0
-4.978125,0.05634,-0.00
-4.9773437,0.0604,0
-4.9765625,0.05634,-0.00
-4.9757812,0.05031,0.00
-4.975,0.05433,-0.00
-4.9742187,0.0604,0
-4.9734375,0.0604,-0.002
-4.9726562,0.05232,-0.002
-4.971875,0.0604,-0.00
-4.9710937,0.05433,-0.00
-4.9703125,0.05031,-0.00
-4.9695312,0.0604,0
-4.96875,0.0583,-0.00
-4.9679687,0.05433,0
-4.9671875,0.05433,-0.00
-4.9664062,0.05433,-0.00
-4.965625,0.05232,-0.00
-4.9648437,0.05433,0
-4.9640625,0.05031,-0.00
-4.9632812,0.04629,-0.0024
-4.9625,0.05232,-0.00
-4.9617187,0.05031,-0.00
-4.9609375,0.05634,-0.00
-4.9601562,0.05433,-0.00
-4.959375,0.0583,-0.00
-4.9585937,0.05634,-0.002
-4.9578125,0.0583,-0.00
-4.9570312,0.0583,-0.002
-4.95625,0.04629,-0.00
-4.9554687,0.0604,-0.00
-4.9546875,0.05634,-0.002
-4.9539062,0.0583,-0.00
-4.953125,0.05433,-0.00
-4.9523437,0.05634,0.002
-4.9515625,0.05433,-0.002
-4.9507812,0.05031,-0.00
-4.95,0.05433,-0.00
-4.9492187,0.04830,-0.00
-4.9484375,0.05433,-0.00
-4.9476562,0.05232,-0.00
-4.946875,0.0583,-0.00
-4.9460937,0.05031,-0.002
-4.9453125,0.05232,-0.00
-4.9445312,0.05634,-0.00
-4.94375,0.05433,-0.002
-4.9429687,0.04830,-0.00
-4.9421875,0.05232,-0.00
-4.9414062,0.05634,-0.00
-4.940625,0.05433,-0.00
-4.9398437,0.05031,-0.00
-4.9390625,0.05232,-0.002
-4.9382812,0.05433,-0.00
-4.9375,0.05433,-0.00
-4.9367187,0.05634,0
-4.9359375,0.06237,-0.002
-4.9351562,0.0583,0.00
-4.934375,0.05433,-0.00
-4.9335937,0.0604,-0.002
-4.9328125,0.05634,-0.00
-4.9320312,0.05433,-0.00
-4.93125,0.05634,-0.00
-4.9304687,0.05634,-0.00
-4.9296875,0.04830,-0.00
-4.9289062,0.05433,-0.002
-4.928125,0.05634,-0.00
-4.9273437,0.05433,-0.00
-4.9265625,0.05433,-0.00
-4.9257812,0.05433,-0.00
-4.925,0.05634,-0.00
-4.9242187,0.0583,-0.00
-4.9234375,0.05433,0
-4.9226562,0.04830,-0.002
-4.921875,0.0604,-0.00
-4.9210937,0.05634,0
-4.9203125,0.05634,0
-4.9195312,0.04830,-0.00
-4.91875,0.0583,-0.00
-4.9179687,0.05031,-0.00
-4.9171875,0.05433,-0.00
-4.9164062,0.05634,-0.00
-4.915625,0.05433,-0.00
-4.9148437,0.05433,-0.00
-4.9140625,0.0583,-0.002
-4.9132812,0.05634,-0.00
-4.9125,0.05634,-0.00
-4.9117187,0.05232,0
-4.9109375,0.05433,-0.00
-4.9101562,0.06237,-0.002
-4.909375,0.05634,-0.00
-4.9085937,0.05634,-0.00
-4.9078125,0.05433,-0.00
-4.9070312,0.05433,-0.00
-4.90625,0.05031,-0.00
-4.9054687,0.04830,-0.002
-4.9046875,0.05433,-0.00
-4.9039062,0.05232,0
-4.903125,0.05232,-0.00
-4.9023437,0.05433,-0.00
-4.9015625,0.05433,-0.00
-4.9007812,0.06237,-0.00
-4.9,0.05433,-0.002
-4.8992187,0.0583,-0.00
-4.8984375,0.0583,0
-4.8976562,0.05433,-0.00
-4.896875,0.05232,-0.00
-4.8960937,0.05634,0
-4.8953125,0.05433,-0.00
-4.8945312,0.0604,-0.00
-4.89375,0.0583,-0.002
-4.8929687,0.06237,0
-4.8921875,0.0604,-0.00
-4.8914062,0.05634,-0.002
-4.890625,0.05634,0
-4.8898437,0.05232,-0.00
-4.8890625,0.05031,-0.00
-4.8882812,0.05433,0
-4.8875,0.05031,-0.002
-4.8867187,0.0604,-0.002
-4.8859375,0.05232,-0.00
-4.8851562,0.0604,-0.002
-4.884375,0.0604,0
-4.8835937,0.05232,-0.00
-4.8828125,0.05634,-0.00
-4.8820312,0.04830,-0.00
-4.88125,0.05634,-0.00
-4.8804687,0.05232,-0.00
-4.8796875,0.06438,-0.00
-4.8789062,0.0583,-0.00
-4.878125,0.05232,0
-4.8773437,0.05433,0
-4.8765625,0.05634,-0.00
-4.8757812,0.04830,-0.002
-4.875,0.0604,-0.00
-4.8742187,0.0604,0
-4.8734375,0.05634,-0.00
-4.8726562,0.0583,-0.00
-4.871875,0.0604,-0.002
-4.8710937,0.0604,-0.00
-4.8703125,0.05634,-0.00
-4.8695312,0.0604,-0.00
-4.86875,0.05634,-0.00
-4.8679687,0.04830,-0.00
-4.8671875,0.05433,-0.00
-4.8664062,0.0583,-0.00
-4.865625,0.05634,0
-4.8648437,0.05232,-0.00
-4.8640625,0.05634,-0.00
-4.8632812,0.05232,-0.00
-4.8625,0.05031,-0.00
