x_axis,channel_2,4
-4.4375,-6.6e-05,+4.646435E+00
-4.433594,-4.6e-05,+4.646435E+00
-4.429688,-4.6e-05,+4.646435E+00
-4.425781,-5.6e-05,+4.646435E+00
-4.421875,-6.6e-05,+4.646435E+00
-4.417969,-6.6e-05,+4.646435E+00
-4.414063,-6.6e-05,+4.646435E+00
-4.410156,-7.6e-05,+4.646435E+00
-4.40625,-7.6e-05,+4.646435E+00
-4.402344,-8.6e-05,+4.646435E+00
-4.398438,-8.6e-05,+4.646435E+00
-4.394531,-7.6e-05,+4.646435E+00
-4.390625,-8.6e-05,+4.646435E+00
-4.386719,-8.6e-05,+4.646435E+00
-4.382813,-8.6e-05,+4.646435E+00
-4.378906,-7.6e-05,+4.646435E+00
-4.375,-6.6e-05,+4.646435E+00
-4.371094,-6.6e-05,+4.646435E+00
-4.367188,-7.6e-05,+4.646435E+00
-4.363281,-7.6e-05,+4.646435E+00
-4.359375,-7.6e-05,+4.646435E+00
-4.355469,-7.6e-05,+4.646435E+00
-4.351563,-5.6e-05,+4.646435E+00
-4.347656,-6.6e-05,+4.646435E+00
-4.34375,-8.6e-05,+4.646435E+00
-4.339844,-7.6e-05,+4.646435E+00
-4.335938,-7.6e-05,+4.646435E+00
-4.332031,-5.6e-05,+4.646435E+00
-4.328125,-5.6e-05,+4.646435E+00
-4.324219,-6.6e-05,+4.646435E+00
-4.320313,-6.6e-05,+4.646435E+00
-4.316406,-6.6e-05,+4.646435E+00
-4.3125,-7.6e-05,+4.646435E+00
-4.308594,-5.6e-05,+4.646435E+00
-4.304688,-6.6e-05,+4.646435E+00
-4.300781,-7.6e-05,+4.646435E+00
-4.296875,-8.6e-05,+4.646435E+00
-4.292969,-9.6e-05,+4.646435E+00
-4.289063,-8.6e-05,+4.646435E+00
-4.285156,-9.6e-05,+4.646435E+00
-4.28125,-8.6e-05,+4.646435E+00
-4.277344,-8.6e-05,+4.646435E+00
-4.273438,-6.6e-05,+4.646435E+00
-4.269531,-6.6e-05,+4.646435E+00
-4.265625,-8.6e-05,+4.646435E+00
-4.261719,-8.6e-05,+4.646435E+00
-4.257813,-8.6e-05,+4.646435E+00
-4.253906,-6.6e-05,+4.646435E+00
-4.25,-4.6e-05,+4.646435E+00
-4.246094,-6.6e-05,+4.646435E+00
-4.242188,-7.6e-05,+4.646435E+00
-4.238281,-8.6e-05,+4.646435E+00
-4.234375,-7.6e-05,+4.646435E+00
-4.230469,-6.6e-05,+4.646435E+00
-4.226563,-6.6e-05,+4.646435E+00
-4.222656,-7.6e-05,+4.646435E+00
-4.21875,-6.6e-05,+4.646435E+00
-4.214844,-5.6e-05,+4.646435E+00
-4.210938,-4.6e-05,+4.646435E+00
-4.207031,-6.6e-05,+4.646435E+00
-4.203125,-8.6e-05,+4.646435E+00
-4.199219,-9.6e-05,+4.646435E+00
-4.195313,-8.6e-05,+4.646435E+00
-4.191406,-9.6e-05,+4.646435E+00
-4.1875,-7.6e-05,+4.646435E+00
-4.183594,-8.6e-05,+4.646435E+00
-4.179688,-7.6e-05,+4.646435E+00
-4.175781,-5.6e-05,+4.646435E+00
-4.171875,-4.6e-05,+4.646435E+00
-4.167969,-5.6e-05,+4.646435E+00
-4.164063,-6.6e-05,+4.646435E+00
-4.160156,-5.6e-05,+4.646435E+00
-4.15625,-6.6e-05,+4.646435E+00
-4.152344,-7.6e-05,+4.646435E+00
-4.148438,-7.6e-05,+4.646435E+00
-4.144531,-7.6e-05,+4.646435E+00
-4.140625,-6.6e-05,+4.646435E+00
-4.136719,-7.6e-05,+4.646435E+00
-4.132813,-6.6e-05,+4.646435E+00
-4.128906,-6.6e-05,+4.646435E+00
-4.125,-8.6e-05,+4.646435E+00
-4.121094,-8.6e-05,+4.646435E+00
-4.117188,-7.6e-05,+4.646435E+00
-4.113281,-6.6e-05,+4.646435E+00
-4.109375,-7.6e-05,+4.646435E+00
-4.105469,-8.6e-05,+4.646435E+00
-4.101563,-8.6e-05,+4.646435E+00
-4.097656,-7.6e-05,+4.646435E+00
-4.09375,-6.6e-05,+4.646435E+00
-4.089844,-7.6e-05,+4.646435E+00
-4.085938,-6.6e-05,+4.646435E+00
-4.082031,-6.6e-05,+4.646435E+00
-4.078125,-6.6e-05,+4.646435E+00
-4.074219,-7.6e-05,+4.646435E+00
-4.070313,-7.6e-05,+4.646435E+00
-4.066406,-8.6e-05,+4.646435E+00
-4.0625,-8.6e-05,+4.646435E+00
-4.058594,-7.6e-05,+4.646435E+00
-4.054688,-8.6e-05,+4.646435E+00
-4.050781,-8.6e-05,+4.646435E+00
-4.046875,-8.6e-05,+4.646435E+00
-4.042969,-9.6e-05,+4.646435E+00
-4.039063,-8.6e-05,+4.646435E+00
-4.035156,-9.6e-05,+4.646435E+00
-4.03125,-8.6e-05,+4.646435E+00
-4.027344,-8.6e-05,+4.646435E+00
-4.023438,-9.6e-05,+4.646435E+00
-4.019531,-0.000106,+4.646435E+00
-4.015625,-0.000126,+4.646435E+00
-4.011719,-0.000116,+4.646435E+00
-4.007813,-0.000126,+4.646435E+00
-4.003906,-0.000126,+4.646435E+00
-4.0,-0.000106,+4.646435E+00
-3.996094,-0.000106,+4.646435E+00
-3.992188,-9.6e-05,+4.646435E+00
-3.988281,-9.6e-05,+4.646435E+00
