x_axis,channel_2,4
-4.988281,2.4e-05,+4.646435E+00
-4.984375,4.4e-05,+4.646435E+00
-4.980469,5.4e-05,+4.646435E+00
-4.976563,7.5e-05,+4.646435E+00
-4.972656,6.5e-05,+4.646435E+00
-4.96875,5.4e-05,+4.646435E+00
-4.964844,5.4e-05,+4.646435E+00
-4.960938,3.4e-05,+4.646435E+00
-4.957031,2.4e-05,+4.646435E+00
-4.953125,4e-06,+4.646435E+00
-4.949219,3.4e-05,+4.646435E+00
-4.945313,1.4e-05,+4.646435E+00
-4.941406,1.4e-05,+4.646435E+00
-4.9375,1.4e-05,+4.646435E+00
-4.933594,4e-06,+4.646435E+00
-4.929688,1.4e-05,+4.646435E+00
-4.925781,1.4e-05,+4.646435E+00
-4.921875,-6e-06,+4.646435E+00
-4.917969,-2.6e-05,+4.646435E+00
-4.914063,-4.6e-05,+4.646435E+00
-4.910156,-4.6e-05,+4.646435E+00
-4.90625,-3.6e-05,+4.646435E+00
-4.902344,-5.6e-05,+4.646435E+00
-4.898438,-9.6e-05,+4.646435E+00
-4.894531,-0.000106,+4.646435E+00
-4.890625,-0.000126,+4.646435E+00
-4.886719,-0.000116,+4.646435E+00
-4.882813,-0.000116,+4.646435E+00
-4.878906,-0.000136,+4.646435E+00
-4.875,-0.000136,+4.646435E+00
-4.871094,-0.000157,+4.646435E+00
-4.867188,-0.000136,+4.646435E+00
-4.863281,-0.000136,+4.646435E+00
-4.859375,-0.000157,+4.646435E+00
-4.855469,-0.000157,+4.646435E+00
-4.851563,-0.000147,+4.646435E+00
-4.847656,-0.000147,+4.646435E+00
-4.84375,-0.000147,+4.646435E+00
-4.839844,-0.000147,+4.646435E+00
-4.835938,-0.000167,+4.646435E+00
-4.832031,-0.000187,+4.646435E+00
-4.828125,-0.000167,+4.646435E+00
-4.824219,-0.000147,+4.646435E+00
-4.820313,-0.000136,+4.646435E+00
-4.816406,-0.000126,+4.646435E+00
-4.8125,-9.6e-05,+4.646435E+00
-4.808594,-0.000126,+4.646435E+00
-4.804688,-0.000106,+4.646435E+00
-4.800781,-2.6e-05,+4.646435E+00
-4.796875,-0.000116,+4.646435E+00
-4.792969,-0.000147,+4.646435E+00
-4.789063,-0.000126,+4.646435E+00
-4.785156,-0.000116,+4.646435E+00
-4.78125,-0.000126,+4.646435E+00
-4.777344,-0.000167,+4.646435E+00
-4.773438,-0.000187,+4.646435E+00
-4.769531,-0.000187,+4.646435E+00
-4.765625,-0.000167,+4.646435E+00
-4.761719,-0.000167,+4.646435E+00
-4.757813,-0.000177,+4.646435E+00
-4.753906,-0.000177,+4.646435E+00
-4.75,-0.000187,+4.646435E+00
-4.746094,-0.000207,+4.646435E+00
-4.742188,-0.000177,+4.646435E+00
-4.738281,-0.000217,+4.646435E+00
-4.734375,-0.000207,+4.646435E+00
-4.730469,-0.000197,+4.646435E+00
-4.726563,-0.000187,+4.646435E+00
-4.722656,-0.000207,+4.646435E+00
-4.71875,-0.000227,+4.646435E+00
-4.714844,-0.000227,+4.646435E+00
-4.710938,-0.000217,+4.646435E+00
-4.707031,-0.000227,+4.646435E+00
-4.703125,-0.000227,+4.646435E+00
-4.699219,-0.000227,+4.646435E+00
-4.695313,-0.000227,+4.646435E+00
-4.691406,-0.000207,+4.646435E+00
-4.6875,-0.000227,+4.646435E+00
-4.683594,-0.000227,+4.646435E+00
-4.679688,-0.000247,+4.646435E+00
-4.675781,-0.000247,+4.646435E+00
-4.671875,-0.000247,+4.646435E+00
-4.667969,-0.000247,+4.646435E+00
-4.664063,-0.000247,+4.646435E+00
-4.660156,-0.000257,+4.646435E+00
-4.65625,-0.000257,+4.646435E+00
-4.652344,-0.000247,+4.646435E+00
-4.648438,-0.000237,+4.646435E+00
-4.644531,-0.000227,+4.646435E+00
-4.640625,-0.000227,+4.646435E+00
-4.636719,-0.000217,+4.646435E+00
-4.632813,-0.000227,+4.646435E+00
-4.628906,-0.000237,+4.646435E+00
-4.625,-0.000227,+4.646435E+00
-4.621094,-0.000227,+4.646435E+00
-4.617188,-0.000207,+4.646435E+00
-4.613281,-0.000217,+4.646435E+00
-4.609375,-0.000197,+4.646435E+00
-4.605469,-0.000197,+4.646435E+00
-4.601563,-0.000197,+4.646435E+00
-4.597656,-0.000217,+4.646435E+00
