x_axis,channel_2
-4.988281,2.4e-05
-4.984375,4e-06
-4.980469,4e-06
-4.976563,1.4e-05
-4.972656,2.4e-05
-4.96875,2.4e-05
-4.964844,1.4e-05
-4.960938,1.4e-05
-4.957031,4e-06
-4.953125,4e-06
-4.949219,1.4e-05
-4.945313,4e-06
-4.941406,2.4e-05
-4.9375,2.4e-05
-4.933594,2.4e-05
-4.929688,3.4e-05
-4.925781,1.4e-05
-4.921875,2.4e-05
-4.917969,1.4e-05
-4.914063,2.4e-05
-4.910156,1.4e-05
-4.90625,-6e-06
-4.902344,-6e-06
-4.898438,4e-06
-4.894531,4e-06
-4.890625,1.4e-05
-4.886719,1.4e-05
-4.882813,4e-06
-4.878906,4e-06
-4.875,-6e-06
-4.871094,4e-06
-4.867188,-1.6e-05
-4.863281,-1.6e-05
-4.859375,-1.6e-05
-4.855469,-6e-06
-4.851563,4e-06
-4.847656,-6e-06
-4.84375,-1.6e-05
-4.839844,-1.6e-05
-4.835938,-6e-06
-4.832031,4e-06
-4.828125,-6e-06
-4.824219,-2.6e-05
-4.820313,-2.6e-05
-4.816406,-1.6e-05
-4.8125,4e-06
-4.808594,-1.6e-05
-4.804688,-2.6e-05
-4.800781,-1.6e-05
-4.796875,-2.6e-05
-4.792969,-1.6e-05
-4.789063,-1.6e-05
-4.785156,-1.6e-05
-4.78125,-1.6e-05
-4.777344,-1.6e-05
-4.773438,-1.6e-05
-4.769531,-1.6e-05
-4.765625,-1.6e-05
-4.761719,-4.6e-05
-4.757813,-3.6e-05
-4.753906,-1.6e-05
-4.75,-3.6e-05
-4.746094,-3.6e-05
-4.742188,-4.6e-05
-4.738281,-3.6e-05
-4.734375,-6e-06
-4.730469,-2.6e-05
-4.726563,-2.6e-05
-4.722656,-3.6e-05
-4.71875,-4.6e-05
-4.714844,-4.6e-05
-4.710938,-3.6e-05
-4.707031,-4.6e-05
-4.703125,-5.6e-05
-4.699219,-4.6e-05
-4.695313,-4.6e-05
-4.691406,-4.6e-05
-4.6875,-4.6e-05
-4.683594,-5.6e-05
-4.679688,-4.6e-05
-4.675781,-2.6e-05
-4.671875,-2.6e-05
-4.667969,-3.6e-05
-4.664063,-4.6e-05
-4.660156,-4.6e-05
-4.65625,-4.6e-05
-4.652344,-4.6e-05
-4.648438,-3.6e-05
-4.644531,-3.6e-05
-4.640625,-2.6e-05
-4.636719,-2.6e-05
-4.632813,-2.6e-05
-4.628906,-2.6e-05
-4.625,-3.6e-05
-4.621094,-2.6e-05
-4.617188,-4.6e-05
-4.613281,-4.6e-05
-4.609375,-6.6e-05
-4.605469,-7.6e-05
-4.601563,-6.6e-05
-4.597656,-6.6e-05
-4.59375,-5.6e-05
-4.589844,-5.6e-05
-4.585938,-6.6e-05
-4.582031,-5.6e-05
-4.578125,-4.6e-05
-4.574219,-4.6e-05
-4.570313,-4.6e-05
-4.566406,-4.6e-05
-4.5625,-6.6e-05
-4.558594,-6.6e-05
-4.554688,-6.6e-05
-4.550781,-4.6e-05
-4.546875,-4.6e-05
-4.542969,-5.6e-05
-4.539063,-5.6e-05
-4.535156,-4.6e-05
-4.53125,-4.6e-05
-4.527344,-5.6e-05
-4.523438,-5.6e-05
-4.519531,-5.6e-05
-4.515625,-5.6e-05
-4.511719,-6.6e-05
-4.507813,-5.6e-05
-4.503906,-6.6e-05
-4.5,-6.6e-05
-4.496094,-6.6e-05
-4.492188,-4.6e-05
-4.488281,-4.6e-05
-4.484375,-6.6e-05
-4.480469,-6.6e-05
-4.476563,-5.6e-05
-4.472656,-4.6e-05
-4.46875,-4.6e-05
-4.464844,-5.6e-05
-4.460938,-8.6e-05
-4.457031,-6.6e-05
-4.453125,-5.6e-05
-4.449219,-6.6e-05
-4.445313,-6.6e-05
-4.441406,-7.6e-05
-4.4375,-6.6e-05
-4.433594,-4.6e-05
-4.429688,-4.6e-05
-4.425781,-5.6e-05
-4.421875,-6.6e-05
-4.417969,-6.6e-05
-4.414063,-6.6e-05
-4.410156,-7.6e-05
-4.40625,-7.6e-05
-4.402344,-8.6e-05
-4.398438,-8.6e-05
-4.394531,-7.6e-05
-4.390625,-8.6e-05
-4.386719,-8.6e-05
-4.382813,-8.6e-05
-4.378906,-7.6e-05
-4.375,-6.6e-05
-4.371094,-6.6e-05
-4.367188,-7.6e-05
-4.363281,-7.6e-05
-4.359375,-7.6e-05
-4.355469,-7.6e-05
-4.351563,-5.6e-05
-4.347656,-6.6e-05
-4.34375,-8.6e-05
-4.339844,-7.6e-05
-4.335938,-7.6e-05
-4.332031,-5.6e-05
-4.328125,-5.6e-05
-4.324219,-6.6e-05
-4.320313,-6.6e-05
-4.316406,-6.6e-05
-4.3125,-7.6e-05
-4.308594,-5.6e-05
-4.304688,-6.6e-05
-4.300781,-7.6e-05
-4.296875,-8.6e-05
-4.292969,-9.6e-05
-4.289063,-8.6e-05
-4.285156,-9.6e-05
-4.28125,-8.6e-05
-4.277344,-8.6e-05
-4.273438,-6.6e-05
-4.269531,-6.6e-05
-4.265625,-8.6e-05
-4.261719,-8.6e-05
-4.257813,-8.6e-05
-4.253906,-6.6e-05
-4.25,-4.6e-05
-4.246094,-6.6e-05
-4.242188,-7.6e-05
-4.238281,-8.6e-05
-4.234375,-7.6e-05
-4.230469,-6.6e-05
-4.226563,-6.6e-05
-4.222656,-7.6e-05
-4.21875,-6.6e-05
-4.214844,-5.6e-05
-4.210938,-4.6e-05
-4.207031,-6.6e-05
-4.203125,-8.6e-05
-4.199219,-9.6e-05
-4.195313,-8.6e-05
-4.191406,-9.6e-05
-4.1875,-7.6e-05
-4.183594,-8.6e-05
-4.179688,-7.6e-05
-4.175781,-5.6e-05
-4.171875,-4.6e-05
-4.167969,-5.6e-05
-4.164063,-6.6e-05
-4.160156,-5.6e-05
-4.15625,-6.6e-05
