x_axis,channel_2
-4.988281,0.000135
-4.984375,0.000115
-4.980469,0.000135
-4.976563,0.000135
-4.972656,0.000125
-4.96875,0.000105
-4.964844,0.000115
-4.960938,0.000125
-4.957031,0.000125
-4.953125,0.000115
-4.949219,0.000105
-4.945313,0.000105
-4.941406,0.000125
-4.9375,0.000135
-4.933594,0.000135
-4.929688,0.000125
-4.925781,0.000115
-4.921875,0.000125
-4.917969,0.000145
-4.914063,0.000155
-4.910156,0.000145
-4.90625,0.000115
-4.902344,0.000115
-4.898438,0.000135
-4.894531,0.000135
-4.890625,0.000125
-4.886719,0.000115
-4.882813,0.000115
-4.878906,0.000115
-4.875,0.000115
-4.871094,0.000115
-4.867188,0.000105
-4.863281,9.5e-05
-4.859375,0.000105
-4.855469,0.000115
-4.851563,0.000115
-4.847656,0.000115
-4.84375,0.000105
-4.839844,0.000125
-4.835938,0.000125
-4.832031,0.000125
-4.828125,0.000115
-4.824219,0.000125
-4.820313,0.000145
-4.816406,0.000155
-4.8125,0.000155
-4.808594,0.000155
-4.804688,0.000145
-4.800781,0.000145
-4.796875,0.000125
-4.792969,0.000105
-4.789063,8.5e-05
-4.785156,0.000105
-4.78125,9.5e-05
-4.777344,9.5e-05
-4.773438,0.000105
-4.769531,9.5e-05
-4.765625,0.000105
-4.761719,0.000115
-4.757813,0.000135
-4.753906,0.000145
-4.75,0.000135
-4.746094,0.000115
-4.742188,0.000115
-4.738281,0.000105
-4.734375,0.000105
-4.730469,9.5e-05
-4.726563,9.5e-05
-4.722656,9.5e-05
-4.71875,0.000105
-4.714844,0.000115
-4.710938,9.5e-05
-4.707031,9.5e-05
-4.703125,0.000115
-4.699219,0.000105
-4.695313,0.000115
-4.691406,0.000115
-4.6875,0.000115
-4.683594,0.000125
-4.679688,0.000145
-4.675781,0.000135
-4.671875,0.000115
-4.667969,9.5e-05
-4.664063,9.5e-05
-4.660156,0.000105
-4.65625,0.000105
-4.652344,0.000115
-4.648438,9.5e-05
-4.644531,9.5e-05
-4.640625,0.000115
-4.636719,0.000125
-4.632813,0.000115
-4.628906,0.000105
-4.625,8.5e-05
-4.621094,9.5e-05
-4.617188,9.5e-05
-4.613281,0.000105
-4.609375,9.5e-05
-4.605469,8.5e-05
-4.601563,8.5e-05
-4.597656,9.5e-05
-4.59375,9.5e-05
-4.589844,9.5e-05
-4.585938,8.5e-05
-4.582031,9.5e-05
-4.578125,9.5e-05
-4.574219,0.000115
-4.570313,9.5e-05
-4.566406,7.5e-05
-4.5625,8.5e-05
-4.558594,8.5e-05
-4.554688,0.000115
-4.550781,0.000105
-4.546875,7.5e-05
-4.542969,8.5e-05
-4.539063,7.5e-05
-4.535156,8.5e-05
-4.53125,9.5e-05
-4.527344,9.5e-05
-4.523438,8.5e-05
-4.519531,9.5e-05
-4.515625,0.000105
-4.511719,0.000105
-4.507813,9.5e-05
-4.503906,9.5e-05
-4.5,9.5e-05
-4.496094,0.000105
-4.492188,9.5e-05
-4.488281,0.000105
-4.484375,0.000105
-4.480469,0.000115
-4.476563,0.000105
-4.472656,8.5e-05
-4.46875,6.5e-05
-4.464844,6.5e-05
-4.460938,6.5e-05
-4.457031,8.5e-05
-4.453125,9.5e-05
-4.449219,8.5e-05
-4.445313,8.5e-05
-4.441406,6.5e-05
-4.4375,6.5e-05
-4.433594,7.5e-05
-4.429688,5.4e-05
-4.425781,5.4e-05
-4.421875,6.5e-05
-4.417969,7.5e-05
-4.414063,8.5e-05
-4.410156,7.5e-05
-4.40625,7.5e-05
-4.402344,7.5e-05
-4.398438,7.5e-05
-4.394531,6.5e-05
-4.390625,6.5e-05
-4.386719,5.4e-05
-4.382813,6.5e-05
-4.378906,6.5e-05
-4.375,6.5e-05
-4.371094,6.5e-05
-4.367188,4.4e-05
-4.363281,5.4e-05
-4.359375,7.5e-05
-4.355469,8.5e-05
-4.351563,6.5e-05
-4.347656,6.5e-05
-4.34375,6.5e-05
-4.339844,7.5e-05
-4.335938,6.5e-05
-4.332031,4.4e-05
-4.328125,3.4e-05
-4.324219,3.4e-05
-4.320313,5.4e-05
-4.316406,6.5e-05
-4.3125,6.5e-05
-4.308594,7.5e-05
-4.304688,4.4e-05
-4.300781,6.5e-05
-4.296875,5.4e-05
-4.292969,6.5e-05
-4.289063,5.4e-05
-4.285156,6.5e-05
-4.28125,7.5e-05
-4.277344,8.5e-05
-4.273438,7.5e-05
-4.269531,5.4e-05
-4.265625,6.5e-05
-4.261719,7.5e-05
-4.257813,8.5e-05
-4.253906,6.5e-05
-4.25,7.5e-05
-4.246094,5.4e-05
-4.242188,5.4e-05
-4.238281,5.4e-05
-4.234375,6.5e-05
-4.230469,7.5e-05
-4.226563,7.5e-05
-4.222656,6.5e-05
-4.21875,5.4e-05
-4.214844,5.4e-05
-4.210938,4.4e-05
-4.207031,4.4e-05
