x_axis,channel_2
-4.980469,-3.6e-05
-4.976563,-5.6e-05
-4.972656,-5.6e-05
-4.96875,-7.6e-05
-4.964844,-0.000106
-4.960938,-0.000126
-4.957031,-0.000116
-4.953125,-0.000126
-4.949219,-0.000126
-4.945313,-0.000136
-4.941406,-0.000106
-4.9375,-8.6e-05
-4.933594,-5.6e-05
-4.929688,-6e-06
-4.925781,7.5e-05
-4.921875,0.000175
-4.917969,0.000255
-4.914063,0.000396
-4.910156,0.000467
-4.90625,0.000537
-4.902344,0.000627
-4.898438,0.000668
-4.894531,0.000708
-4.890625,0.000688
-4.886719,0.000617
-4.882813,0.000607
-4.878906,0.000597
-4.875,0.000587
-4.871094,0.000497
-4.867188,0.000386
-4.863281,0.000296
-4.859375,0.000235
-4.855469,0.000195
-4.851563,0.000185
-4.847656,0.000205
-4.84375,0.000235
-4.839844,0.000296
-4.835938,0.000396
-4.832031,0.000487
-4.828125,0.000547
-4.824219,0.000567
-4.820313,0.000607
-4.816406,0.000627
-4.8125,0.000577
-4.808594,0.000547
-4.804688,0.000507
-4.800781,0.000446
-4.796875,0.000396
-4.792969,0.000356
-4.789063,0.000266
-4.785156,0.000175
-4.78125,0.000125
-4.777344,8.5e-05
-4.773438,4.4e-05
-4.769531,4e-06
-4.765625,-2.6e-05
-4.761719,-5.6e-05
-4.757813,-5.6e-05
-4.753906,-6.6e-05
-4.75,-6.6e-05
-4.746094,-9.6e-05
-4.742188,-8.6e-05
-4.738281,-7.6e-05
-4.734375,-8.6e-05
-4.730469,-6.6e-05
-4.726563,-6.6e-05
-4.722656,-3.6e-05
-4.71875,1.4e-05
-4.714844,7.5e-05
-4.710938,0.000145
-4.707031,0.000215
-4.703125,0.000316
-4.699219,0.000456
-4.695313,0.000537
-4.691406,0.000577
-4.6875,0.000647
-4.683594,0.000708
-4.679688,0.000788
-4.675781,0.000788
-4.671875,0.000758
-4.667969,0.000728
-4.664063,0.000728
-4.660156,0.000708
-4.65625,0.000698
-4.652344,0.000627
-4.648438,0.000527
-4.644531,0.000436
-4.640625,0.000416
-4.636719,0.000426
-4.632813,0.000456
-4.628906,0.000497
-4.625,0.000577
-4.621094,0.000607
-4.617188,0.000678
-4.613281,0.000698
-4.609375,0.000688
-4.605469,0.000688
-4.601563,0.000668
-4.597656,0.000627
-4.59375,0.000617
-4.589844,0.000617
-4.585938,0.000587
-4.582031,0.000547
-4.578125,0.000497
-4.574219,0.000446
-4.570313,0.000396
-4.566406,0.000366
-4.5625,0.000276
-4.558594,0.000205
-4.554688,0.000145
-4.550781,8.5e-05
-4.546875,6.5e-05
-4.542969,3.4e-05
-4.539063,1.4e-05
-4.535156,-6e-06
-4.53125,-2.6e-05
-4.527344,-1.6e-05
-4.523438,-1.6e-05
-4.519531,-1.6e-05
-4.515625,-1.6e-05
-4.511719,4e-06
-4.507813,3.4e-05
-4.503906,5.4e-05
-4.5,9.5e-05
-4.496094,0.000145
-4.492188,0.000215
-4.488281,0.000326
-4.484375,0.000416
-4.480469,0.000517
-4.476563,0.000607
-4.472656,0.000637
-4.46875,0.000657
-4.464844,0.000647
-4.460938,0.000698
-4.457031,0.000668
-4.453125,0.000678
-4.449219,0.000678
-4.445313,0.000617
-4.441406,0.000577
-4.4375,0.000507
-4.433594,0.000487
-4.429688,0.000436
-4.425781,0.000406
-4.421875,0.000386
-4.417969,0.000406
-4.414063,0.000416
-4.410156,0.000436
-4.40625,0.000446
-4.402344,0.000467
-4.398438,0.000477
-4.394531,0.000456
-4.390625,0.000446
-4.386719,0.000456
-4.382813,0.000467
-4.378906,0.000467
-4.375,0.000416
-4.371094,0.000356
-4.367188,0.000276
-4.363281,0.000205
-4.359375,0.000175
-4.355469,0.000145
-4.351563,9.5e-05
-4.347656,6.5e-05
-4.34375,3.4e-05
-4.339844,1.4e-05
-4.335938,-1.6e-05
-4.332031,-1.6e-05
-4.328125,-6e-06
-4.324219,-6e-06
-4.320313,1.4e-05
-4.316406,4.4e-05
-4.3125,6.5e-05
-4.308594,9.5e-05
-4.304688,0.000155
-4.300781,0.000235
-4.296875,0.000326
-4.292969,0.000416
-4.289063,0.000426
-4.285156,0.000497
-4.28125,0.000547
-4.277344,0.000527
-4.273438,0.000507
-4.269531,0.000467
-4.265625,0.000426
-4.261719,0.000346
-4.257813,0.000245
-4.253906,0.000145
-4.25,2.4e-05
-4.246094,-3.6e-05
-4.242188,-0.000106
-4.238281,-0.000147
-4.234375,-0.000167
-4.230469,-0.000197
-4.226563,-0.000207
-4.222656,-0.000217
-4.21875,-0.000207
-4.214844,-0.000207
-4.210938,-0.000207
-4.207031,-0.000167
-4.203125,-0.000126
-4.199219,-9.6e-05
-4.195313,-3.6e-05
