x_axis,channel_2
-4.980469,0.000165
-4.976563,0.000145
-4.972656,0.000135
-4.96875,0.000145
-4.964844,0.000155
-4.960938,0.000135
-4.957031,0.000125
-4.953125,0.000145
-4.949219,0.000135
-4.945313,0.000135
-4.941406,0.000125
-4.9375,0.000135
-4.933594,0.000145
-4.929688,0.000145
-4.925781,0.000165
-4.921875,0.000155
-4.917969,0.000165
-4.914063,0.000175
-4.910156,0.000175
-4.90625,0.000145
-4.902344,0.000145
-4.898438,0.000125
-4.894531,0.000155
-4.890625,0.000155
-4.886719,0.000175
-4.882813,0.000155
-4.878906,0.000145
-4.875,0.000135
-4.871094,0.000135
-4.867188,0.000155
-4.863281,0.000125
-4.859375,0.000115
-4.855469,0.000125
-4.851563,0.000135
-4.847656,0.000145
-4.84375,0.000165
-4.839844,0.000135
-4.835938,0.000135
-4.832031,0.000145
-4.828125,0.000145
-4.824219,0.000145
-4.820313,0.000125
-4.816406,0.000125
-4.8125,0.000115
-4.808594,0.000125
-4.804688,0.000125
-4.800781,0.000135
-4.796875,0.000135
-4.792969,0.000145
-4.789063,0.000165
-4.785156,0.000155
-4.78125,0.000125
-4.777344,0.000125
-4.773438,0.000125
-4.769531,0.000115
-4.765625,0.000105
-4.761719,9.5e-05
-4.757813,0.000105
-4.753906,0.000105
-4.75,0.000105
-4.746094,0.000125
-4.742188,0.000125
-4.738281,0.000115
-4.734375,0.000105
-4.730469,0.000105
-4.726563,8.5e-05
-4.722656,8.5e-05
-4.71875,8.5e-05
-4.714844,9.5e-05
-4.710938,0.000105
-4.707031,0.000105
-4.703125,9.5e-05
-4.699219,9.5e-05
-4.695313,9.5e-05
-4.691406,0.000105
-4.6875,0.000115
-4.683594,9.5e-05
-4.679688,8.5e-05
-4.675781,9.5e-05
-4.671875,0.000105
-4.667969,8.5e-05
-4.664063,8.5e-05
-4.660156,7.5e-05
-4.65625,6.5e-05
-4.652344,9.5e-05
-4.648438,0.000105
-4.644531,0.000115
-4.640625,8.5e-05
-4.636719,0.000105
-4.632813,0.000115
-4.628906,0.000115
-4.625,0.000105
-4.621094,9.5e-05
-4.617188,0.000115
-4.613281,0.000115
-4.609375,0.000115
-4.605469,9.5e-05
-4.601563,9.5e-05
-4.597656,9.5e-05
-4.59375,7.5e-05
-4.589844,9.5e-05
-4.585938,0.000105
-4.582031,0.000125
-4.578125,0.000115
-4.574219,0.000105
-4.570313,9.5e-05
-4.566406,0.000115
-4.5625,9.5e-05
-4.558594,9.5e-05
-4.554688,9.5e-05
-4.550781,0.000105
-4.546875,0.000105
-4.542969,8.5e-05
-4.539063,8.5e-05
-4.535156,8.5e-05
-4.53125,8.5e-05
-4.527344,9.5e-05
-4.523438,8.5e-05
-4.519531,8.5e-05
-4.515625,9.5e-05
-4.511719,9.5e-05
-4.507813,9.5e-05
-4.503906,0.000105
-4.5,9.5e-05
-4.496094,0.000105
-4.492188,7.5e-05
-4.488281,9.5e-05
-4.484375,7.5e-05
-4.480469,7.5e-05
-4.476563,7.5e-05
-4.472656,7.5e-05
-4.46875,8.5e-05
-4.464844,9.5e-05
-4.460938,9.5e-05
-4.457031,9.5e-05
-4.453125,9.5e-05
-4.449219,0.000105
-4.445313,8.5e-05
-4.441406,8.5e-05
-4.4375,8.5e-05
