x_axis,channel_2
-4.980469,0.000871
-4.976563,0.000996
-4.972656,0.000996
-4.96875,0.001122
-4.964844,0.001122
-4.960938,0.001122
-4.957031,0.001248
-4.953125,0.001373
-4.949219,0.001373
-4.945313,0.001499
-4.941406,0.001499
-4.9375,0.001625
-4.933594,0.00175
-4.929688,0.001876
-4.925781,0.002001
-4.921875,0.002001
-4.917969,0.002127
-4.914063,0.002253
-4.910156,0.002504
-4.90625,0.002504
-4.902344,0.00263
-4.898438,0.002755
-4.894531,0.002881
-4.890625,0.003132
-4.886719,0.003258
-4.882813,0.003258
-4.878906,0.003258
-4.875,0.003509
-4.871094,0.003635
-4.867188,0.003635
-4.863281,0.003509
-4.859375,0.003509
-4.855469,0.003509
-4.851563,0.003635
-4.847656,0.003635
-4.84375,0.003509
-4.839844,0.003383
-4.835938,0.003383
-4.832031,0.003509
-4.828125,0.003509
-4.824219,0.003383
-4.820313,0.003258
-4.816406,0.003258
-4.8125,0.003258
-4.808594,0.003258
-4.804688,0.003132
-4.800781,0.003006
-4.796875,0.003006
-4.792969,0.003132
-4.789063,0.003132
-4.785156,0.003006
-4.78125,0.002881
-4.777344,0.002881
-4.773438,0.003006
-4.769531,0.003006
-4.765625,0.002881
-4.761719,0.002755
-4.757813,0.002755
-4.753906,0.002755
-4.75,0.002755
-4.746094,0.002755
-4.742188,0.00263
-4.738281,0.00263
-4.734375,0.00263
-4.730469,0.002755
-4.726563,0.00263
-4.722656,0.00263
-4.71875,0.002504
-4.714844,0.00263
-4.710938,0.00263
-4.707031,0.00263
-4.703125,0.002504
-4.699219,0.002504
-4.695313,0.002504
-4.691406,0.00263
-4.6875,0.00263
-4.683594,0.002504
-4.679688,0.002504
-4.675781,0.002504
-4.671875,0.00263
-4.667969,0.00263
-4.664063,0.00263
-4.660156,0.002504
-4.65625,0.00263
-4.652344,0.00263
-4.648438,0.002755
-4.644531,0.00263
-4.640625,0.00263
-4.636719,0.00263
-4.632813,0.002755
-4.628906,0.002755
-4.625,0.002755
-4.621094,0.002755
-4.617188,0.002755
-4.613281,0.002881
-4.609375,0.002881
-4.605469,0.002881
-4.601563,0.002755
-4.597656,0.002755
-4.59375,0.002881
-4.589844,0.002881
-4.585938,0.002881
-4.582031,0.002755
