x_axis,channel_2,4
-4.980469,0.003006,+4.646435E+00
-4.976563,0.003006,+4.646435E+00
-4.972656,0.003006,+4.646435E+00
-4.96875,0.003006,+4.646435E+00
-4.964844,0.003006,+4.646435E+00
-4.960938,0.003006,+4.646435E+00
-4.957031,0.002881,+4.646435E+00
-4.953125,0.002881,+4.646435E+00
-4.949219,0.002881,+4.646435E+00
-4.945313,0.002881,+4.646435E+00
-4.941406,0.002881,+4.646435E+00
-4.9375,0.002881,+4.646435E+00
-4.933594,0.002881,+4.646435E+00
-4.929688,0.002881,+4.646435E+00
-4.925781,0.002881,+4.646435E+00
-4.921875,0.003006,+4.646435E+00
-4.917969,0.002881,+4.646435E+00
-4.914063,0.002755,+4.646435E+00
-4.910156,0.002755,+4.646435E+00
-4.90625,0.002881,+4.646435E+00
-4.902344,0.002881,+4.646435E+00
-4.898438,0.002881,+4.646435E+00
-4.894531,0.002755,+4.646435E+00
-4.890625,0.002755,+4.646435E+00
-4.886719,0.002755,+4.646435E+00
-4.882813,0.002881,+4.646435E+00
-4.878906,0.002755,+4.646435E+00
-4.875,0.002755,+4.646435E+00
-4.871094,0.00263,+4.646435E+00
-4.867188,0.002755,+4.646435E+00
-4.863281,0.002755,+4.646435E+00
-4.859375,0.002755,+4.646435E+00
-4.855469,0.00263,+4.646435E+00
-4.851563,0.002504,+4.646435E+00
-4.847656,0.00263,+4.646435E+00
-4.84375,0.00263,+4.646435E+00
-4.839844,0.00263,+4.646435E+00
-4.835938,0.002504,+4.646435E+00
-4.832031,0.002504,+4.646435E+00
-4.828125,0.002504,+4.646435E+00
-4.824219,0.002504,+4.646435E+00
-4.820313,0.002504,+4.646435E+00
-4.816406,0.002504,+4.646435E+00
-4.8125,0.002378,+4.646435E+00
-4.808594,0.002378,+4.646435E+00
-4.804688,0.002504,+4.646435E+00
-4.800781,0.002504,+4.646435E+00
-4.796875,0.002378,+4.646435E+00
-4.792969,0.002253,+4.646435E+00
